ISN.Договор;Продукт уровень 1;Продукт уровень 2;Продукт уровень 3;Номер договора;Премия, руб;Дата начала договора;Страна выезда
1037122175203;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;ТУРИСТИЧЕСКАЯ;3715919-3;4013,03994;2023-08-19 00:00:00;ФРАНЦИЯ
1618269238203;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;СТРАХОВАНИЕ В ПУТЕШЕСТВИИ (ЛЬГОТНАЯ);5281225-3;339,933392;2023-02-07 00:00:00;
1632383025703;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;ТУРИСТИЧЕСКАЯ;VFS004040;4295,961072;2023-03-03 00:00:00;
1654826661803;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;СТРАХОВАНИЕ В ПУТЕШЕСТВИИ (ЛЬГОТНАЯ);5321959-3;112,059818;2023-01-28 00:00:00;
1672659786503;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;СТРАХОВАНИЕ В ПУТЕШЕСТВИИ (ЛЬГОТНАЯ);5346168-3;223,337452;2023-01-26 00:00:00;
1672659786503;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;СТРАХОВАНИЕ В ПУТЕШЕСТВИИ (ЛЬГОТНАЯ);5346168-3;73,947852;2023-01-26 00:00:00;
1696972058803;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;СТРАХОВАНИЕ В ПУТЕШЕСТВИИ (ЛЬГОТНАЯ);5406201-3;222,032028;2025-04-17 00:00:00;
1700923825203;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;СТРАХОВАНИЕ В ПУТЕШЕСТВИИ;5413880-3;1872,10464;2023-06-01 00:00:00;
1714462144603;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;ТУРИСТИЧЕСКАЯ;KBV-17030;1021,81625;2023-01-07 00:00:00;ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
1717427005103;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;ТУРИСТИЧЕСКАЯ;BSI-001509;411,6021;2023-02-12 00:00:00;МАЛЬДИВЫ
1719368609903;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;СТРАХОВАНИЕ В ПУТЕШЕСТВИИ (ЛЬГОТНАЯ);5459979-3;152,449;2023-02-03 00:00:00;
1743455255703;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;ТУРИСТИЧЕСКАЯ;5523484-3;289,603248;2023-01-04 00:00:00;ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
1765720560303;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;ТУРИСТИЧЕСКАЯ;5581104-3;290,98992;2023-01-01 00:00:00;ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
1769935850603;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;СПЕЦИАЛЬНЫЕ ПРОГРАММЫ УСП;5590914-3;1715,83;2023-01-02 00:00:00;
1770672020903;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;СТРАХОВАНИЕ В ПУТЕШЕСТВИИ;5592381-3;715,836548;2023-01-22 00:00:00;ШВЕЙЦАРИЯ
1771457800703;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;ТУРИСТИЧЕСКАЯ;5593756-3;233,299968;2023-01-10 00:00:00;ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
1774348901403;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;ТУРИСТИЧЕСКАЯ;5600214-3;91,465836;2023-01-07 00:00:00;ТУРЦИЯ
1775556119803;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;ТУРИСТИЧЕСКАЯ;5605948-3;1607,4288;2023-01-06 00:00:00;
1776829836203;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;ТУРИСТИЧЕСКАЯ;5609412-3;566,618998;2023-01-03 00:00:00;ТАИЛАНД
1776851608503;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;ТУРИСТИЧЕСКАЯ;5609444-3;477,60972;2023-02-01 00:00:00;ИСПАНИЯ
1778040666703;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;СТРАХОВАНИЕ В ПУТЕШЕСТВИИ (ЛЬГОТНАЯ);5613567-3;118,872533;2023-03-02 00:00:00;
1780423627003;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;СТРАХОВАНИЕ В ПУТЕШЕСТВИИ;5619031-3;1875,391488;2023-02-14 00:00:00;
1780677458503;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;СТРАХОВАНИЕ В ПУТЕШЕСТВИИ (ЛЬГОТНАЯ);5619965-3;939,602937;2023-04-20 00:00:00;
1781475667703;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;ТУРИСТИЧЕСКАЯ;5622709-3;115,898112;2023-01-12 00:00:00;ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
1784594609603;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;СПЕЦИАЛЬНЫЕ ПРОГРАММЫ УСП;ANX 8915192/1N;2303,6702;2023-01-05 00:00:00;ТАИЛАНД
1784601060703;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;СПЕЦИАЛЬНЫЕ ПРОГРАММЫ УСП;ANX 8946483/1N;1135,6281;2023-01-06 00:00:00;ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
1784920702903;СТРАХОВАНИЕ ТУРИСТОВ;ВИД ПОЕЗДКИ;ПО РОССИИ;5631782-3;20;2023-01-03 00:00:00;РОССИЯ
